Name,Rank,Web_of_Science_Documents,Times_Cited,Percent_Docs_Cited,Quartile,Five_Year_Impact_Factor,Article_Influence,Category_Normalized_Citation_Impact,Cited_Half_Life,Eigenfactor,Immediacy_Index,Impact_Factor_wo_Self_Cites,Journal_Impact_Factor,Journal_Normalized_Citation_Impact,Percent_All_Open_Access_Documents,Pecent_Bronze_Documents,Percent_DOAJ_Gold_Documents,Percent_Green_Accepted_Documents,Percent_Green_Published_Documents,Percent_Other_Gold_Documents,All_Open_Access_Documents,Bronze_Documents,DOAJ_Gold_Documents,Green_Accepted_Documents,Green_Published_Documents,Other_Gold_Documents
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,1,18,3150,88.88888889,Q1,47.677,21.712,5.057072222,10,0.29,13.545,44.379,45.54,0.738333333,77.77777778,72.22222222,0,33.33333333,11.11111111,0,14,13,0,6,2,0
AMERICAN JOURNAL OF EPIDEMIOLOGY,2,56,3021,92.85714286,Q1,5.212,2.311,1.902685714,13.1,0.0348,1.187,4.33,4.526,0.806964286,76.78571429,69.64285714,0,1.785714286,41.07142857,3.571428571,43,39,0,1,23,2
CIRCULATION,3,17,2546,100,Q1,21.054,8.609,4.368552941,11.3,0.205,7.249,22.711,23.603,1.295294118,76.47058824,52.94117647,0,47.05882353,11.76470588,0,13,9,0,8,2,0
AMERICAN JOURNAL OF PUBLIC HEALTH,4,19,2232,94.73684211,Q1,6.006,2.576,3.802447368,10,0.0585,1.46,6.069,6.464,1.771052632,100,52.63157895,0,15.78947368,100,0,19,10,0,3,19,0
AMERICAN JOURNAL OF CLINICAL NUTRITION,5,22,1408,95.45454545,Q1,7.831,2.33,2.096418182,12,0.0453,1.696,6.504,6.766,0.910909091,63.63636364,63.63636364,0,0,59.09090909,0,14,14,0,0,13,0
ARCHIVES OF INTERNAL MEDICINE,6,13,1385,100,N/A,n/a,n/a,3.456946154,n/a,n/a,n/a,n/a,n/a,0.991538462,84.61538462,84.61538462,0,38.46153846,0,0,11,11,0,5,0,0
JOURNAL OF CLINICAL EPIDEMIOLOGY,7,7,1164,100,Q1,6.234,2.509,6.106514286,11.3,0.0284,1.734,4.387,4.952,2.517142857,0,0,0,0,0,0,0,0,0,0,0,0
DIABETES CARE,8,20,1042,95,Q1,13.054,4.376,1.750095,9.1,0.0879,5.007,15.144,16.019,0.7215,95,45,0,0,75,50,19,9,0,0,15,10
PSYCHOSOMATIC MEDICINE,9,18,1034,100,Q1,4.406,1.531,1.746238889,12.9,0.0099,0.899,3.409,3.702,1.028333333,38.88888889,0,0,38.88888889,0,0,7,0,0,7,0,0
CLINICAL CHEMISTRY,10,9,809,100,Q1,7.722,2.48,4.246644444,13.4,0.0203,1.933,6.886,7.292,1.704444444,88.88888889,88.88888889,0,22.22222222,0,0,8,8,0,2,0,0
EPIDEMIOLOGY,11,3,758,100,Q1,5.834,2.533,9.845866667,10.5,0.0172,1.099,4.83,5.071,4.006666667,66.66666667,0,0,66.66666667,33.33333333,0,2,0,0,2,1,0
LANCET,12,1,707,100,Q1,59.345,23.354,15.0214,8.6,0.4373,15.011,59.208,60.392,2.32,0,0,0,0,0,0,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF OBESITY,13,10,687,100,Q1,5.336,1.609,1.65151,10.1,0.0248,1.467,4.253,4.419,1.234,70,70,0,40,0,0,7,7,0,4,0,0
HYPERTENSION,14,20,682,100,Q1,7.206,2.438,1.48949,9.7,0.0468,1.605,6.967,7.713,0.871,85,60,0,65,15,0,17,12,0,13,3,0
SOCIAL SCIENCE & MEDICINE,15,10,614,100,Q1,4.241,1.492,2.46999,10.6,0.0505,0.68,3.223,3.616,1.523,60,0,0,50,10,0,6,0,0,5,1,0
ANNALS OF EPIDEMIOLOGY,16,14,538,92.85714286,Q2,3.076,1.244,1.1394,10.2,0.0101,0.496,2.5,2.573,1.012857143,42.85714286,0,0,42.85714286,0,0,6,0,0,6,0,0
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,17,8,469,100,Q1,15.303,5.706,2.1797375,9.5,0.0852,5.415,15.946,17.452,0.745,75,0,0,0,75,0,6,0,0,0,6,0
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,18,11,460,100,Q1,6.253,1.823,1.153072727,9.8,0.0321,1.862,5.196,6.604,0.685454545,90.90909091,90.90909091,0,27.27272727,0,0,10,10,0,3,0,0
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,19,11,418,81.81818182,Q1,19.035,7.72,1.445936364,7.6,0.1903,5.802,19.328,20.589,0.467272727,54.54545455,54.54545455,0,27.27272727,0,0,6,6,0,3,0,0
ATHEROSCLEROSIS,20,12,368,91.66666667,Q1,4.639,1.363,1.117758333,7.5,0.0366,1.279,3.718,3.919,1.174166667,75,0,0,75,0,8.333333333,9,0,0,9,0,1
OBESITY,21,14,326,100,Q2,4.458,1.436,1.084842857,7.4,0.0274,1.11,3.543,3.742,0.903571429,92.85714286,21.42857143,0,92.85714286,0,0,13,3,0,13,0,0
JOURNAL OF THE AMERICAN DIETETIC ASSOCIATION,22,2,320,100,N/A,n/a,n/a,5.32995,n/a,n/a,n/a,n/a,n/a,6.77,0,0,0,0,0,0,0,0,0,0,0,0
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,23,15,301,93.33333333,Q1,5.098,1.553,1.0727,12,0.0288,1.211,3.793,4.029,0.612666667,66.66666667,0,0,66.66666667,0,0,10,0,0,10,0,0
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,24,9,294,100,Q1,5.879,1.833,1.334633333,10.7,0.0731,1.43,5.069,5.399,0.831111111,88.88888889,77.77777778,0,0,88.88888889,0,8,7,0,0,8,0
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,25,3,289,100,Q1,9.024,3.224,4.9249,9.4,0.0574,2.295,9.004,9.274,1.5,100,100,0,0,66.66666667,0,3,3,0,0,2,0
ARTERIOSCLEROSIS,26,2,283,100,N/A,n/a,n/a,3.8879,n/a,n/a,n/a,n/a,n/a,1.715,100,100,0,0,0,0,2,2,0,0,0,0
PREVENTIVE MEDICINE,27,11,279,90.90909091,Q1,4.348,1.501,1.247818182,7.6,0.0301,0.89,3.612,3.788,0.667272727,45.45454545,0,0,45.45454545,0,0,5,0,0,5,0,0
NEW ENGLAND JOURNAL OF MEDICINE,28,1,272,100,Q1,72.098,31.319,8.7276,8.7,0.6608,19.003,73.983,74.699,0.58,100,0,0,100,0,0,1,0,0,1,0,0
JOURNAL OF LIPID RESEARCH,29,3,251,100,Q2,5.281,1.658,1.431166667,10.4,0.0224,1.423,4.292,4.483,1.813333333,33.33333333,33.33333333,0,0,0,0,1,1,0,0,0,0
AMERICAN JOURNAL OF HYPERTENSION,30,6,239,100,Q3,3.105,1.012,1.5354,9.7,0.0108,0.743,2.563,2.669,2.316666667,83.33333333,83.33333333,0,0,66.66666667,0,5,5,0,0,4,0
AMERICAN JOURNAL OF HUMAN GENETICS,31,1,236,100,Q1,10.344,5.444,4.8198,10.9,0.0601,1.891,9.922,10.502,1.86,100,0,0,0,100,0,1,0,0,0,1,0
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,32,5,232,100,Q1,9.305,4.194,1.62376,8,0.0491,1.991,7.458,7.707,1.008,80,80,0,0,60,0,4,4,0,0,3,0
SLEEP,33,4,224,100,Q1,5.823,1.891,1.7315,10.2,0.0246,1.054,4.402,4.805,1.0675,100,100,0,0,75,0,4,4,0,0,3,0
JOURNAL OF THE AMERICAN HEART ASSOCIATION,34,15,218,93.33333333,Q1,5.038,1.908,1.16624,3.2,0.0706,0.699,4.45,4.605,1.080666667,100,0,100,0,100,0,15,0,15,0,15,0
BIOLOGICAL PSYCHIATRY,35,2,217,100,Q1,12.069,4.504,2.47275,9.9,0.0539,3.378,11.715,12.095,1.095,50,0,0,50,0,0,1,0,0,1,0,0
ANNALS OF BEHAVIORAL MEDICINE,36,3,212,100,Q1,4.504,1.559,2.423866667,9.2,0.0084,1.531,4.379,4.48,1.23,0,0,0,0,0,0,0,0,0,0,0,0
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,37,1,209,100,Q2,2.75,0.601,4.6417,10.3,0.0751,0.637,2.887,2.985,5.46,0,0,0,0,0,0,0,0,0,0,0,0
PLOS ONE,38,12,207,91.66666667,Q2,3.226,0.928,0.994558333,5.6,1.3889,0.499,2.65,2.74,0.954166667,100,0,100,0,100,0,12,0,12,0,12,0
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,39,11,205,90.90909091,Q1,5.443,2.267,0.960781818,8.6,0.0402,0.857,4.206,4.42,0.527272727,63.63636364,9.090909091,0,63.63636364,0,0,7,1,0,7,0,0
ARTERIOSCLEROSIS AND THROMBOSIS,40,2,203,100,N/A,n/a,n/a,2.37175,n/a,n/a,n/a,n/a,n/a,1.36,100,100,0,0,0,0,2,2,0,0,0,0
DIABETES,41,2,200,100,Q1,8.147,2.643,2.79515,10.8,0.0533,1.785,7.517,7.72,1.21,100,50,0,50,50,50,2,1,0,1,1,1
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,42,2,197,100,Q1,4.898,1.84,2.16915,9.7,0.0262,0.927,4.177,4.344,1.52,0,0,0,0,0,0,0,0,0,0,0,0
CONTROLLED CLINICAL TRIALS,42,3,197,100,N/A,n/a,n/a,2.599966667,n/a,n/a,n/a,n/a,n/a,1.906666667,0,0,0,0,0,0,0,0,0,0,0,0
JAMA INTERNAL MEDICINE,44,6,196,100,Q1,19.658,9.655,3.48995,3.9,0.0862,6.273,17.89,18.652,0.745,100,66.66666667,0,50,66.66666667,0,6,4,0,3,4,0
ENVIRONMENTAL HEALTH PERSPECTIVES,44,1,196,100,Q1,10.081,2.702,7.7959,10.3,0.0345,1.102,8.01,8.382,2.4,100,0,100,0,100,0,1,0,1,0,1,0
OBSTETRICS AND GYNECOLOGY,46,5,186,100,Q1,5.618,2.216,2.1223,9.9,0.0479,1.316,4.973,5.524,1.134,100,0,0,100,0,0,5,0,0,5,0,0
AMERICAN JOURNAL OF KIDNEY DISEASES,47,6,163,100,Q1,7.217,2.715,2.014633333,10.2,0.0323,1.863,6.264,6.618,0.98,100,0,0,100,0,0,6,0,0,6,0,0
JOURNAL OF HUMAN HYPERTENSION,48,2,161,100,Q3,2.314,0.649,1.54655,9.8,0.0046,0.857,2.186,2.26,4.465,100,100,0,50,0,0,2,2,0,1,0,0
MOLECULAR MEDICINE,49,1,159,100,Q2,3.929,1.033,3.3351,8.4,0.0046,0.403,4.064,4.096,3.2,100,0,100,0,100,0,1,0,1,0,1,0
ANNALS OF INTERNAL MEDICINE,50,2,155,100,Q1,19.792,9.842,2.0901,10.6,0.0912,6.062,20.43,21.317,0.63,0,0,0,0,0,0,0,0,0,0,0,0
BRITISH MEDICAL JOURNAL,51,2,147,100,N/A,n/a,n/a,2.19885,n/a,n/a,n/a,n/a,n/a,0.885,100,50,0,0,100,0,2,1,0,0,2,0
STROKE,52,4,146,100,Q1,7.113,2.375,1.364175,10,0.078,1.107,6.463,7.19,0.72,100,75,0,100,25,0,4,3,0,4,1,0
AMERICAN JOURNAL OF CARDIOLOGY,53,5,145,100,Q2,2.805,1.007,0.78872,11.7,0.0395,0.557,2.452,2.57,0.804,40,0,0,20,20,0,2,0,0,1,1,0
DIABETOLOGIA,54,7,137,85.71428571,Q1,6.871,2.33,0.880385714,9.1,0.0407,2.129,7.322,7.518,0.53,85.71428571,85.71428571,0,85.71428571,0,0,6,6,0,6,0,0
HEALTH PSYCHOLOGY,55,4,125,100,Q1,4.416,1.657,2.346025,10.7,0.0155,0.737,2.96,3.056,1.5175,100,25,0,75,25,25,4,1,0,3,1,1
AMERICAN HEART JOURNAL,56,5,120,100,Q2,3.99,1.858,0.61978,11.5,0.0268,0.914,4.052,4.153,0.61,20,0,0,20,0,0,1,0,0,1,0,0
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,57,5,115,100,Q1,4.159,1.527,0.9522,11.7,0.0162,0.646,3.25,3.342,0.772,100,40,0,40,60,20,5,2,0,2,3,1
RESPIRATORY RESEARCH,58,3,114,100,Q2,4.043,1.15,1.4557,5.9,0.0131,0.537,3.753,3.924,1.3,100,0,100,0,100,0,3,0,3,0,3,0
OBESITY RESEARCH,59,4,112,100,N/A,n/a,n/a,0.607575,n/a,n/a,n/a,n/a,n/a,0.49,25,0,0,25,0,0,1,0,0,1,0,0
INTERNATIONAL JOURNAL OF EATING DISORDERS,60,3,110,66.66666667,Q1,4.202,1.194,1.138766667,10.2,0.0107,1.244,3.13,3.668,0.953333333,33.33333333,0,0,33.33333333,0,0,1,0,0,1,0,0
HEALTH & PLACE,61,6,109,100,Q1,4.2,1.185,1.33825,7.5,0.0099,0.6,2.913,3.29,0.943333333,100,0,0,100,0,0,6,0,0,6,0,0
BRITISH JOURNAL OF NUTRITION,61,2,109,100,Q2,4.283,1.044,2.14305,8.9,0.0254,0.496,3.197,3.334,2.055,100,100,0,50,0,0,2,2,0,1,0,0
CIRCULATION-CARDIOVASCULAR GENETICS,63,4,107,100,Q1,4.769,2.072,0.777,5.9,0.0086,n/a,4.534,4.534,0.5025,100,100,0,100,25,0,4,4,0,4,1,0
NUTRITION,64,2,104,50,Q2,4.118,0.921,1.5595,8,0.0121,1.075,3.476,3.639,1.97,100,0,0,100,0,0,2,0,0,2,0,0
JOURNAL OF NUTRITION,65,3,103,66.66666667,Q1,5.075,1.339,1.029666667,13.6,0.0243,1.045,4.059,4.281,0.696666667,66.66666667,66.66666667,0,0,66.66666667,0,2,2,0,0,2,0
HUMAN GENETICS,66,2,98,100,Q1,4.907,2.013,1.0106,10.1,0.0134,1.037,5.561,5.743,1.305,0,0,0,0,0,0,0,0,0,0,0,0
CHEST,67,3,89,100,Q1,7.772,2.651,0.914366667,11.5,0.0466,2.536,7.909,8.308,0.653333333,66.66666667,0,0,0,66.66666667,0,2,0,0,0,2,0
HEPATOLOGY,68,1,86,100,Q1,13.663,4.439,5.0223,8.4,0.0915,4.35,14.104,14.679,1.63,100,0,0,100,0,0,1,0,0,1,0,0
JAMA CARDIOLOGY,68,3,86,100,Q1,12.275,6.756,3.374733333,2.3,0.0301,3.317,12.46,12.794,1.14,100,0,0,33.33333333,100,0,3,0,0,1,3,0
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,70,3,83,100,Q1,4.564,1.586,0.667733333,8.2,0.0252,1.038,3.866,4.157,0.586666667,33.33333333,0,0,33.33333333,0,0,1,0,0,1,0,0
EUROPEAN JOURNAL OF CLINICAL NUTRITION,71,1,78,100,Q2,3.447,0.954,1.5939,10,0.0135,1.135,3.19,3.291,1.82,100,100,0,0,0,0,1,1,0,0,0,0
JACC-HEART FAILURE,71,2,78,100,Q1,8.708,3.895,2.7368,3.5,0.0192,2.648,8.201,8.75,1.27,100,100,0,50,0,0,2,2,0,1,0,0
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,73,1,76,100,Q1,10.62,4.448,4.666,10,0.9319,1.957,9.158,9.412,1.1,100,100,0,0,100,0,1,1,0,0,1,0
ARTHRITIS RESEARCH & THERAPY,73,2,76,100,Q1,4.686,1.365,1.37705,7.3,0.0252,0.717,3.954,4.103,1.035,100,0,100,0,100,0,2,0,2,0,2,0
AMERICAN JOURNAL OF HUMAN BIOLOGY,75,1,75,100,Q2,1.63,0.512,4.0705,9.2,0.0037,0.402,1.384,1.558,2.92,100,0,0,100,0,0,1,0,0,1,0,0
INTERNATIONAL JOURNAL OF HEALTH SERVICES,75,1,75,100,Q4,1.955,0.64,2.8603,12.7,0.0018,0.213,1.135,1.281,6.61,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,75,1,75,100,Q1,6.136,2.172,3.8533,11.6,0.0507,1.642,5.621,6.502,2.73,100,0,0,100,0,0,1,0,0,1,0,0
CARDIOVASCULAR DIABETOLOGY,78,1,72,100,Q1,5.448,1.186,5.4657,4.1,0.0114,0.831,5.253,7.332,4.16,100,0,100,0,100,0,1,0,1,0,1,0
NEUROLOGY,78,6,72,100,Q1,8.899,3.137,1.775866667,11.2,0.1035,2.111,8.26,8.77,0.71,83.33333333,0,0,0,83.33333333,0,5,0,0,0,5,0
BRAIN BEHAVIOR AND IMMUNITY,80,3,71,100,Q1,6.934,1.892,1.1076,5.6,0.0286,1.517,6.196,6.633,0.636666667,100,0,0,100,0,0,3,0,0,3,0,0
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,80,1,71,100,Q1,5.879,2.178,1.4493,16.4,0.0141,0.989,4.383,4.632,0.53,0,0,0,0,0,0,0,0,0,0,0,0
EUROPEAN JOURNAL OF EPIDEMIOLOGY,82,3,70,100,Q1,7.921,3.479,0.964033333,7.7,0.0194,1.434,6.99,7.135,0.663333333,33.33333333,0,0,33.33333333,0,0,1,0,0,1,0,0
ANNALS OF NEUROLOGY,82,1,70,100,Q1,10.044,4.007,3.2063,11.2,0.0441,2.034,8.884,9.037,1.06,100,0,0,100,0,0,1,0,0,1,0,0
ENVIRONMENTAL RESEARCH,84,3,69,100,Q1,5.735,1.222,1.065566667,4.5,0.0318,1.27,5.14,5.715,1.02,66.66666667,0,0,66.66666667,0,0,2,0,0,2,0,0
ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH,85,2,63,100,Q2,3.219,0.966,1.0939,10.1,0.0157,0.718,2.591,3.035,0.945,0,0,0,0,0,0,0,0,0,0,0,0
CIRCULATION-CARDIOVASCULAR IMAGING,85,2,63,100,Q1,6.395,2.733,2.0699,5.5,0.0163,1.432,5.497,5.691,1.135,100,50,0,100,0,0,2,1,0,2,0,0
JOURNAL OF INTERNAL MEDICINE,85,2,63,100,Q1,7.315,2.436,1.1264,9,0.0142,2.626,6.765,6.871,0.79,100,0,0,100,0,0,2,0,0,2,0,0
JOURNAL OF UROLOGY,88,1,61,100,Q1,5.137,1.431,2.9582,12,0.0365,1.727,5.41,5.925,2.01,100,0,0,100,0,0,1,0,0,1,0,0
ANNALS OF THE RHEUMATIC DISEASES,89,2,59,100,Q1,13.485,4.105,1.10855,7,0.0729,5,14.659,16.102,0.48,100,0,0,100,0,0,2,0,0,2,0,0
JOURNAL OF HYPERTENSION,90,4,58,75,Q1,4.15,1.232,0.48385,8.5,0.0202,1.278,3.809,4.171,0.565,25,0,0,25,0,0,1,0,0,1,0,0
MAYO CLINIC PROCEEDINGS,91,2,55,100,Q1,7.539,2.749,1.2765,8.4,0.025,1.547,6.577,6.942,0.92,50,0,0,50,0,0,1,0,0,1,0,0
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,92,5,54,100,Q1,6.812,2.307,0.8514,8,0.0182,1.176,4.818,5.508,0.58,100,0,0,100,0,0,5,0,0,5,0,0
ETHNICITY & HEALTH,92,1,54,100,Q1,2.729,0.939,7.7847,7.1,0.0025,1.031,2.554,2.554,3.39,100,0,0,100,0,0,1,0,0,1,0,0
ADDICTIVE BEHAVIORS,94,2,52,100,Q1,3.546,1.141,1.15385,7.3,0.023,0.93,3.249,3.645,1.025,50,0,0,50,0,0,1,0,0,1,0,0
JACC-CARDIOVASCULAR IMAGING,94,2,52,100,Q1,11.462,4.365,2.0515,4.4,0.0276,5.259,10.539,12.74,0.765,100,100,0,50,0,0,2,2,0,1,0,0
METABOLISM-CLINICAL AND EXPERIMENTAL,96,3,50,100,Q1,6.029,1.487,0.4357,9.1,0.0158,2.138,5.707,6.159,0.65,66.66666667,0,0,66.66666667,0,0,2,0,0,2,0,0
EUROPEAN HEART JOURNAL,97,1,48,100,Q1,22.162,8.262,1.2268,5.4,0.1406,10.864,20.8,22.673,0.52,0,0,0,0,0,0,0,0,0,0,0,0
PSYCHONEUROENDOCRINOLOGY,98,3,46,100,Q1,5.355,1.485,0.57,6.8,0.0271,1.003,4.089,4.732,0.39,66.66666667,0,0,66.66666667,0,0,2,0,0,2,0,0
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,99,4,44,100,Q4,1.31,0.388,0.592475,5.8,0.0058,0.409,1.232,1.393,1.8175,75,0,0,75,0,0,3,0,0,3,0,0
DRUG AND ALCOHOL DEPENDENCE,100,2,41,100,Q1,4.222,1.492,0.57565,6.4,0.0406,0.709,3.559,3.951,0.405,50,0,0,50,0,0,1,0,0,1,0,0
STATISTICS IN MEDICINE,100,1,41,100,Q2,2.485,1.463,1.2125,14.2,0.0293,0.403,1.528,1.783,0.78,0,0,0,0,0,0,0,0,0,0,0,0
EUROPEAN JOURNAL OF CARDIOVASCULAR PREVENTION & REHABILITATION,102,2,40,100,N/A,n/a,n/a,0.5117,n/a,n/a,n/a,n/a,n/a,0.665,0,0,0,0,0,0,0,0,0,0,0,0
