Group_Authors,records,percent_of_total
WORLD KIDNEY DAY STEERING COMM,47,0.155
COUNCIL CLINICAL CARDIOLOGY,16,0.053
COUNCIL CARDIOVASC DIS YOUNG,15,0.05
IEEE,13,0.043
COUNCIL CARDIOVASC STROKE NURSING,11,0.036
COUNCIL EPIDEMIOLOGY PREVENTION,11,0.036
AMER COLL CARDIOLOGY,8,0.026
COUNCIL QUALITY CARE OUTCOMES RES,8,0.026
CRIC STUDY INVESTIGATORS,8,0.026
STROKE COUNCIL,8,0.026
AMER HEART ASSOC,7,0.023
DESIR STUDY GRP,7,0.023
HELENA STUDY GRP,7,0.023
HLTH ABC STUDY,7,0.023
PREVEND STUDY GRP,7,0.023
STROKE STAT SUBCOMM,7,0.023
AMER DIABET ASSOC,6,0.02
INTERMAP RES GRP,6,0.02
DIABET PREVENTION PROGRAM RES GRP,5,0.017
INTERACT CONSORTIUM,5,0.017
NAGAHAMA STUDY GRP,5,0.017
OSTEOPOROTIC FRACTURES MEN MROS ST,5,0.017
AMER HEART ASSOC COUNCIL,4,0.013
AMER HEART ASSOC STAT COMM,4,0.013
COUNCIL LIFESTYLE CARDIOMETAB HLTH,4,0.013
COUNCIL PERIPHERAL VASC DIS,4,0.013
ERA JUMP STUDY GRP,4,0.013
MILLENNIUM COHORT STUDY TEAM,4,0.013
NATL ACAD SCI ENGN MED,4,0.013
PREDIMED PLUS INVESTIGATORS,4,0.013
PREDIMED-PLUS INVESTIGATORS,4,0.013
RISC INVESTIGATORS,4,0.013
SESSA RES GRP,4,0.013
STUDY FAT REDISTRIBUTION METABOLIC,4,0.013
STUDY NOVEL APPROACHES WEIGHT GAIN,4,0.013
2018 PHYS ACTIVITY GUIDELINES,3,0.01
CANADIAN RESPOND HD COLLABORATIVE,3,0.01
CANADIAN RESPOND-HD COLLABORATIVE,3,0.01
CHILDHOOD ASTHMA MANAGEMENT,3,0.01
COMM HLTH EFFECTS MARIJUANA,3,0.01
COPDGENE INVESTIGATORS,3,0.01
COUNCIL CARDIOVASC NURSING,3,0.01
COUNCIL CARDIOVASC RADIOLOGY INTER,3,0.01
COUNCIL FUNCTIONAL GENOMICS TRANSL,3,0.01
COUNCIL KIDNEY CARDIOVASC DIS,3,0.01
COUNTERWEIGHT PROJECT TEAM,3,0.01
CRONICAS COHORT STUDY GRP,3,0.01
DCCT EDIC RES GRP,3,0.01
EARTH STUDY TEAM,3,0.01
EUNICE KENNEDY SHRIVER NATL INST,3,0.01
JICHI MED SCH COHORT STUDY GRP,3,0.01
JPHC STUDY GRP,3,0.01
LOOK AHEAD RES GRP,3,0.01
OSTEOPOROTIC FRACTURES MEN MROS,3,0.01
PAGE STUDY,3,0.01
PREDIMED INVESTIGATORS,3,0.01
PREDIMED STUDY INVESTIGATORS,3,0.01
SMART STUDY GRP,3,0.01
STUDY FAT REDISTRIBUTION METAB,3,0.01
ADVOCACY COORDINATING COMM,2,0.007
AIRGENE STUDY GRP,2,0.007
AKWESASNE TASK FORCE ENVIRONM,2,0.007
AMER HEART ASSOC COUNCIL CARDIOVAS,2,0.007
AMER HEART ASSOC COUNCIL CLINICAL,2,0.007
AMER HEART ASSOC STAT COMM STROKE,2,0.007
AMER HEART ASSOC TASK FORCE,2,0.007
AMER SOC ECHOCARDIOGRAPHY,2,0.007
AMER SOC NUCL CARDIOLOGY,2,0.007
ANNISTON ENVIRONM HLTH RES CONSORT,2,0.007
ASKLEPIOS INVESTIGATORS,2,0.007
ASSOC COMP MACHINERY,2,0.007
BIOCYCLE STUDY GRP,2,0.007
CANADIAN CANC REGISTRIES EPIDEMIOL,2,0.007
CARDIA INVESTIGATORS,2,0.007
CEIPC,2,0.007
CHINA KADOORIE BIOBANK CKB COLLABO,2,0.007
CHINA KADOORIE BIOBANK COLLABORATI,2,0.007
CHRONIC RENAL INSUFFICIENCY COHORT,2,0.007
CIRCS INVESTIGATORS,2,0.007
COUNCIL CARDIOVASC STROKE NURSIN,2,0.007
COUNCIL CARDIOVASC SURG ANESTHESIA,2,0.007
COUNCIL CLINICAL CARDIOLOGY STROKE,2,0.007
COUNCIL FUNCTIONAL GENOMICS TRAN,2,0.007
COUNCIL HYPERTENSION,2,0.007
COUNCIL NUTR PHYS ACTIVITY METAB,2,0.007
CREW CONSORTIUM,2,0.007
DALLAS HEART STUDY INVESTIGATORS,2,0.007
DIACORE STUDY GRP,2,0.007
DIVERSE POPULATIONS COLLABORATION,2,0.007
EAS,2,0.007
ERA JUMP STUDY,2,0.007
EUR SOC CARDIOLOGY,2,0.007
FAT REDISTRIBUTION METAB CHANGE HI,2,0.007
FOOD4ME STUDY,2,0.007
FRAM STUDY INVESTIGATORS,2,0.007
FRESHMEN DIETETIC COURSES STUDY II,2,0.007
GENSALT COLLABORATIVE RES GRP,2,0.007
GINIPLUS STUDY GRP,2,0.007
HEALTH ABC STUDY,2,0.007
HEART FAILURE SOC AMER,2,0.007
HEART RHYTHM SOC,2,0.007
HEAT STEERING COMM,2,0.007
HECTOR CONSORTIUM,2,0.007
HIPOP OHP RES GRP,2,0.007
HIPOP-OHP RES GRP,2,0.007
HLTH AGING BODY COMPOSITION STUDY,2,0.007
INFORMAS,2,0.007
INSIGHT SMART STUDY GRP,2,0.007
INT NETWORK STRATEGIC INITIATIVES,2,0.007
INTERMOUNTAIN HEART COLLABORATIVE,2,0.007
ITALIAN SOC CARDIOLOGY,2,0.007
JAPAN DIETETIC STUDENTS STUDY NUTR,2,0.007
JAPAN ENVIRONM CHILDRENS STUDY GRP,2,0.007
JAPAN EPIDEMIOLOGY COLLABORATION O,2,0.007
JAPAN PUBLIC HLTH CTR BASED PROSPE,2,0.007
KEEP INVESTIGATORS,2,0.007
KNOW CKD STUDY INVESTIGATORS,2,0.007
KNOW-CKD STUDY INVESTIGATORS,2,0.007
KORA STUDY GRP,2,0.007
KOREAN SOC STUDY OBESITY,2,0.007
LANCET PHYS ACTIVITY SERIES WORKIN,2,0.007
LISAPLUS STUDY GRP,2,0.007
MEDIMOND,2,0.007
MILLION WOMEN STUDY COLLABORATORS,2,0.007
MOLI SANI PROJECT INVESTIGATORS,2,0.007
MOLI-SANI PROJECT INVESTIGATORS,2,0.007
NATL FOOTBALL LEAGUE SUBCOMM CARDI,2,0.007
NATL HEART LUNG BLOOD INST,2,0.007
NATL RES COUNCIL,2,0.007
NHLBI NUMOM2B HEART HLTH STUDY,2,0.007
NIPPON DATA2010 RES GRP,2,0.007
NONALCOHOLIC STEATOHEPATITIS CLINI,2,0.007
NOVARA ATHEROSCLEROSIS STUDY GRP,2,0.007
NSHD DATA COLLECTION TEAM,2,0.007
NSHD SCI DATA COLLECTION TEAMS,2,0.007
NSHD SCI TEAM,2,0.007
OMEGA STUDY GRP,2,0.007
PDAY RES GRP,2,0.007
PRIME STUDY GRP,2,0.007
REGICOR INVESTIGATORS,2,0.007
SHEEP STUDY GRP,2,0.007
SOC CARDIOVASC ANGIOGRAPHY,2,0.007
SOC THORACIC SURG,2,0.007
STAAB CONSORTIUM,2,0.007
STUDY FAT REDISTRIBUTION METAB CHA,2,0.007
VET AFFAIRS DIABET TRIAL VADT,2,0.007
VHM PP STUDY GRP,2,0.007
WISE STUDY GRP,2,0.007
WOSCOPS,2,0.007
23ANDME RES TEAM,1,0.003
4D,1,0.003
AAASPS INVESTIGATORS,1,0.003
AACE ACE OBESITY CLINICAL PRACTICE,1,0.003
AALCC,1,0.003
AASK STUDY GRP,1,0.003
AASK STUDY INVESTIGATORS,1,0.003
ACCF AHA WRITING COMM,1,0.003
ACM,1,0.003
ACTION HLTH DIABET BRAIN MAGNETIC,1,0.003
ADOLESCENT MED TRIALS NETWORK HIV,1,0.003
ADVANCE INVESTIGATORS,1,0.003
AFINOS STUDY GRP,1,0.003
AG 35 DEUTSCH GESELL KARDIOL HERZ,1,0.003
AG 35-DEUTSCH GESELL KARDIOL HERZ,1,0.003
AGEHIV STUDY GRP,1,0.003
AGES,1,0.003
AI SUPERPFP TEAM,1,0.003
AI-SUPERPFP TEAM,1,0.003
AIBL RES GRP,1,0.003
ALBERTA KIDNEY DIS NETWORK,1,0.003
ALBERTA PROV PROJECT ASSESSING,1,0.003
ALBI ANRS 70,1,0.003
ALBI-ANRS 70,1,0.003
ALEC CONSORTIUM,1,0.003
ALLHAT COLLABORATIVE RES GRP,1,0.003
ALZHEIMER DIS GENETICS CONSORTIUM,1,0.003
ALZHEIMER'S DIS NEUROIMAGING,1,0.003
ALZHEIMER'S DIS NEUROIMAGING INITI,1,0.003
ALZHEIMERS DIS NEUROIMAGING INITIA,1,0.003
AM COLL SPORTS MED,1,0.003
AMER ASSOC THORACIC SURG,1,0.003
AMER COLL CARDIOLOGY FDN AMER HEAR,1,0.003
AMER COLL CARDIOLOGY NATL CARDIOVA,1,0.003
AMER COLL CARDIOLOGY S NUTR,1,0.003
AMER COLL CARDIOLOGY-NATL CARDIOVA,1,0.003
AMER COLL OBSTETRICIANS GYNECOLOGI,1,0.003
AMER COLL SPORTS MED,1,0.003
AMER HEART ASSOC ADVOCACY,1,0.003
AMER HEART ASSOC ADVOCACY COORDINA,1,0.003
AMER HEART ASSOC BEHAV CHANGE COMM,1,0.003
AMER HEART ASSOC COUNCIL EPID,1,0.003
AMER HEART ASSOC COUNCIL EPIDE,1,0.003
AMER HEART ASSOC COUNCIL EPIDEMI,1,0.003
AMER HEART ASSOC COUNCIL EPIDEMIOL,1,0.003
AMER HEART ASSOC COUNCIL FUNCTIONA,1,0.003
AMER HEART ASSOC COUNCIL HYPERTENS,1,0.003
AMER HEART ASSOC COUNCIL QUALITY,1,0.003
AMER HEART ASSOC DATA SHARING,1,0.003
AMER HEART ASSOC PROFESSIONAL PUBL,1,0.003
AMER HEART ASSOC STRATEGIC PLANNIN,1,0.003
AMER HEART ASSOC STROKE COUNCIL,1,0.003
AMER LUNG ASSOC,1,0.003
AMER LUNG ASSOC ASTHMA CLINICAL,1,0.003
AMER STROKE ASSOC,1,0.003
AMER THORACIC SOC,1,0.003
AMER THORACIC SOC AD HOC COMM HLTH,1,0.003
AMER THORACIC SOC ASSEMBLY ENVIRON,1,0.003
AMER THORACIC SOCIETY COMMITTEE SP,1,0.003
AMERICAN HEART ASSOC,1,0.003
AMERICAN HEART ASSOC CARDIOVASCULA,1,0.003
AMERICAN HEART ASSOC STAT COMM,1,0.003
ANNALS NY ACAD SCI,1,0.003
APOEUROPE GRP,1,0.003
APOL1 STAKEHOLDERS PROJECT,1,0.003
APPROACH IS CONSORTIUM,1,0.003
APPROACH-IS CONSORTIUM,1,0.003
ARIC,1,0.003
ARIC INVEST,1,0.003
ARIC STUDY INVESTIGATORS,1,0.003
ARTFL LEFFTDS STUDY,1,0.003
ASSAY STAND,1,0.003
ASSOC CANADIENNE DIABET,1,0.003
ATHEROSCLEROSIS RISK COMMUNITIES ARI,1,0.003
ATHEROSCLEROSIS RISK COMMUNITIES S,1,0.003
ATHEROSCLEROSIS RISK COMMUNITIES STUDY INVESTI,1,0.003
ATHEROSCLEROSIS RISK COMMUNITIES STUDY INVESTIG,1,0.003
ATHEROSCLEROSIS RISK IN COMMUNIT,1,0.003
ATTICA STUDY GRP,1,0.003
AUSDIAB STEERING COMM,1,0.003
AUSTRALIAN ATHEROSCLEROSIS SOC,1,0.003
AUSTRALIAN IMAGING BIOMARKERS LIFE,1,0.003
AVON LONGITUDINAL STUDY PARENTS CH,1,0.003
BARI 2D STUDY GRP,1,0.003
BASIC SCIENCE NETWORK BSN SOC RES,1,0.003
BE FIT,1,0.003
BE WELL STUDY INVESTIGATORS,1,0.003
BELGIAN NEUROLOGY BELNEU,1,0.003
BES GROUP,1,0.003
BEST RES GRP,1,0.003
BHF FHS,1,0.003
BHF-FHS,1,0.003
BIOLUPUS NETWORK,1,0.003
BIOMED DATA TRANSLATOR CONSORTIUM,1,0.003
BOARD BEHAV COGNITIVE SENSORY,1,0.003
BOARD POPULATION HLTH PUBLIC HLTH,1,0.003
BOARD SCI EDUC,1,0.003
BOARDS DIRECTORS AMER ACAD SLEEP,1,0.003
BOLIVIAN TAPS STUDY TEAM,1,0.003
BOSTON AREA COMMUNITY HLTH,1,0.003
BOTNIA RES GRP,1,0.003
BREATHING NOT PROPERLY STUDY INVES,1,0.003
BRHS,1,0.003
BWHHS,1,0.003
C REACTIVE PROT CORONARY HEART DIS,1,0.003
CAAPA,1,0.003
CABG GENOMICS INVESTIGATORS,1,0.003
CACHE CTY INVESTIGATORS,1,0.003
CAHHM STUDY INVESTIGATORS,1,0.003
CALERIE INVESTIGATORS,1,0.003
CAMP RES GRP,1,0.003
CANADIAN ALLIANCE HLTH HEARTS MIND,1,0.003
CANADIAN CARDIOVASC OUTCOMES RES T,1,0.003
CANADIAN CO INFECTION COHORT,1,0.003
CANADIAN CO-INFECTION COHORT,1,0.003
CANADIAN COALITION SENIORS MENTAL,1,0.003
CANADIAN DIABET ASSOC CLINICAL PRA,1,0.003
CANADIAN HYPERTENSIO EDUC PROG,1,0.003
CANADIAN STROKE CONSORTIUM,1,0.003
CANCOLD COLLABORATIVE RES GRP,1,0.003
CANDIDATE GENE ASSOC RESOURCE CARE,1,0.003
CANDIDATE-GENE ASSOC RESOURCE CARE,1,0.003
CANDRIVE RES TEAM,1,0.003
CANNABIS RESP DIS RES GRP NEW,1,0.003
CAPNETZ STUDY GRP,1,0.003
CAPS,1,0.003
CARDIA RES GRP,1,0.003
CARDIAC STUDY GRP,1,0.003
CARDIOPULMONARY EPIDEMIOLOGY RES GRP,1,0.003
CARDIOVASC HLTH STUDY COLLABORATIV,1,0.003
CARDIOVASC HLTH STUDY RES GRP,1,0.003
CARDIOVASC RES NETWORK PRESERV,1,0.003
CARE CHARGE CONSORTIA,1,0.003
CCHS CGPS CIHDS,1,0.003
CDC CTR DIS CONTROL PREVENTION SU,1,0.003
CDC CTR DIS CONTROL PREVENTION-SU,1,0.003
CHAOS,1,0.003
CHARGE CONSORTIUM,1,0.003
CHARGE CONSORTIUM AGING LON,1,0.003
CHARGE CONSORTIUM INFLAMMATION GRP,1,0.003
CHARGE INFLAMMATION WORKING GRP,1,0.003
CHARGE NUTR STUDY GRP,1,0.003
CHILD HUMAN DEV COMMUNITY,1,0.003
CHILD STUDY INVESTIGATORS,1,0.003
CHILDHOOD ASTHMA MANAGEMENT PROGRA,1,0.003
CHILDHOOD ASTHMA PREVENTION STUDY,1,0.003
CHINA NATL DIABET METAB DISORDERS,1,0.003
CHINA NATL SURVEY CHRONIC KIDNEY D,1,0.003
CHIS FU STUDY GROUP,1,0.003
CHOICE STUDY,1,0.003
CHS,1,0.003
CHS COLLABORATIVE RES GRP,1,0.003
CIBA FDN,1,0.003
CISAI STUDY GRP,1,0.003
CKD JAC INVESTIGATORS,1,0.003
CKD SURVEILLANCE TEAM,1,0.003
CKD-JAC INVESTIGATORS,1,0.003
CKDBHPDH INVESTIGATORS,1,0.003
CKDGEN CONSORTIUM,1,0.003
CO RESEARCH WORKERS,1,0.003
CO-RESEARCH WORKERS,1,0.003
CODA STUDY GRP,1,0.003
COHORTS COLLABORATIVE STUDY NORTHE,1,0.003
COHORTS HEART AGING RES GENOMIC EP,1,0.003
COLLABORATIVE STUDY GRP,1,0.003
COLLABORAZIONE CAMILLA TORLASCO,1,0.003
COLLABORAZIONE JUAN EUGENIO OCHOA,1,0.003
COM EXPERTOS,1,0.003
COMBO ENDO TEAM,1,0.003
COMITE DIRECTIVO DIA MUNDIAL RINON,1,0.003
COMITE NACB,1,0.003
COMM HOW PEOPLE LEARN II SCI,1,0.003
COMM NATL SURVEILLANCE SYST,1,0.003
COMM NUTR SECT GASTROENTEROLOGY HE,1,0.003
COMMUNITY CHILD HLTH NETWORK CCHN,1,0.003
COMMUNITY INTERVENTIONS HLTH CIH,1,0.003
CONDUCT PROBLEMS PREVENTION RES,1,0.003
CONF PARTICIPANTS,1,0.003
CONFERENCE WORKING GRP,1,0.003
CONNECT CONSORTIUM,1,0.003
COPDGENE INVESTIGATOR,1,0.003
COREA INVESTIGATORS,1,0.003
COREA STUDY GRP,1,0.003
CORONARY ARTERY RISK DEV YOUNG,1,0.003
CORONARY ARTERY RISK DEV YOUNG ADU,1,0.003
COUNCIL ARTERIOSCLEROSIS,1,0.003
COUNCIL ARTERIOSCLEROSIS THROMBOSI,1,0.003
COUNCIL BASIC CARDIOVASC SCI,1,0.003
COUNCIL CARDIOPULMONARY CRITICAL C,1,0.003
COUNCIL CARDIOVASC STROKE,1,0.003
COUNCIL CARDIOVASC SURG,1,0.003
COUNCIL CARDIOVASC SURGERY ANESTHE,1,0.003
COUNCIL CARDIOVASCULAR DIS YO,1,0.003
COUNCIL CARDIOVASCULAR DIS YOUNG,1,0.003
COUNCIL CARDIOVASCULAR STROKE,1,0.003
COUNCIL CARDIOVASCULAR STROKE NURS,1,0.003
COUNCIL FUNCTIONAL GENOMICS,1,0.003
COUNCIL FUNCTIONAL GENOMICS T,1,0.003
COUNCIL GENOMIC PRECISION MED,1,0.003
COUNCIL HIGH BLOOD PRESSURE RES,1,0.003
COUNCIL LIFESTYLE CARDIOMETABOLIC,1,0.003
COUNCIL NUTR PHYS ACT METAB,1,0.003
COUNCIL NUTR PHYSICAL,1,0.003
COUNCIL QUALITY CARE OUTCOME,1,0.003
COUNCIL QUALITY CARE OUTCOMES,1,0.003
CPCRA,1,0.003
CRIC INVESTIGATORS,1,0.003
CRIC STUDY GRP,1,0.003
CRONICAS COHORT STUDY,1,0.003
CRPHANS,1,0.003
CTR DIS CONTROL PREVENTION CHRO,1,0.003
CTR DIS CONTROL PREVENTION CKD S,1,0.003
CUDAS CUPID,1,0.003
DATA EPIDEMIOLOGICAL STUDY INSULIN,1,0.003
DCCT EDIC,1,0.003
DCCT EDIC RESGRP,1,0.003
DCCT-EDIC RES GRP,1,0.003
DCM CONSORTIUM,1,0.003
DECODE STUDY GRP,1,0.003
DEFINE INVESTIGATORS,1,0.003
DELAYED SLEEP MELATONIN DELSOM,1,0.003
DEVELOPED COLLABORATION AMER ASSOC,1,0.003
DIAB CONTROL COMPLICATIONS TRIAL E,1,0.003
DIABET CANADA CLINICAL PRACTICE,1,0.003
DIABET PREVENTION PROGRAM OUTCOMES,1,0.003
DIAGRAM CONSORTIUM,1,0.003
DIRECT GRP,1,0.003
DIV BEHAV SOCIAL SCI EDUC,1,0.003
DIVERSE POPULATIONS COLLABORATIVE,1,0.003
DPV WISS STUDY GRP,1,0.003
DPV-WISS STUDY GRP,1,0.003
DUTCH GUIDELINE DEV GRP CARDIOVASC,1,0.003
EASO SAB WORKING GRP BMI,1,0.003
ECHORN WRITING GRP,1,0.003
ECLIPSE INVESTIGATOR,1,0.003
ECRHS SAPALDIA TEAMS,1,0.003
EFACTS STUDY GRP,1,0.003
EFSA PANEL DIETETIC PROD,1,0.003
EFSA PANEL DIETETIC PROD NUTR ALLE,1,0.003
EFSA PANEL FOOD ADDITIVES FLAVOURI,1,0.003
ELGAN INVESTIGATORS,1,0.003
ELSA,1,0.003
EMAS GRP,1,0.003
EMBLEM TRIAL INVESTIGATORS,1,0.003
ENIGMA STUDY INVESTIGATORS,1,0.003
ENVIRONM HLTH POLICY COMM,1,0.003
EPICNL,1,0.003
EPICNOR,1,0.003
EPIDEMI STUDY GENET ENVIRON ASTH,1,0.003
EPOC PAC COPD,1,0.003
EPOC PAC-COPD,1,0.003
ERA JUMP ELECTRON BEAM TOMOGRAPHY,1,0.003
ERA JUMP ELECTRON-BEAM TOMOGRAPHY,1,0.003
ESADA NETWORK,1,0.003
ESCAPE HCM STUDY GRP,1,0.003
ESPITAP STUDY GRP INVESTIGATORS,1,0.003
EU WORKING GRP SOCIOECONOMIC INEQU,1,0.003
EUNICE KENNEDY SHRIVE NATL,1,0.003
EUNICE KENNEDY SHRIVER NATL INST C,1,0.003
EUR SOC HYPERTENSION,1,0.003
EURO BLCS STUDY GRP,1,0.003
EURO-BLCS STUDY GRP,1,0.003
EUROASPIRE STUDY GRP,1,0.003
EURODIAB IDDM COMPLICATIONS STUDY,1,0.003
EUROGENE HEART FAILURE PROJECT,1,0.003
EUROPEAN ASSOC CARDIOVASCULAR IMAG,1,0.003
EUROPEAN ASSOC STUDY OBESITY,1,0.003
EUROPEAN COLLABORATIVE GRP IMMIDIE,1,0.003
EUROPEAN EYE EUREYE STUDY GRP,1,0.003
EUROPEAN FEDERATION CLINICAL CH,1,0.003
EUROPEAN MALE AGING STUDY GRP,1,0.003
EUROPEAN NEW ONSET DIABET TRANSPLA,1,0.003
EUROPEAN RARE CANC STUDY GRP,1,0.003
EUROPEAN SOC CARDIOLOGY COUNCIL HY,1,0.003
EUROPEAN SOC HYPERTENSION,1,0.003
EUROPEAN SOCIETY HYPERTENSION WORK,1,0.003
EUROPEAN YOUTH HEART STUDY GRP,1,0.003
EUROPEAN-NEW-ONSET DIABET TRANSPLA,1,0.003
EVA INVESTIGATORS,1,0.003
EVASYON STUDY GRP,1,0.003
